ID	Timestamp	Product	Type	Event	Status	Resource
1	2019/04/18 00:00:00.0000	.MUs.Console:1	Console	Arrival	Start	.Models.JobShop.Source
2	2019/04/18 00:00:00.0000	.MUs.Console:1	Console	Arrival	Complete	.Models.JobShop.Source
3	2019/04/18 00:00:00.0000	.MUs.Console:1	Console	Transport	Start	.Models.JobShop.Buffer
4	2019/04/18 00:00:00.0000	.MUs.Console:1	Console	Transport	Waiting	.Models.JobShop.Buffer
5	2019/04/18 00:00:30.3616	.MUs.Console:2	Console	Arrival	Start	.Models.JobShop.Source
6	2019/04/18 00:00:30.3616	.MUs.Console:2	Console	Arrival	Complete	.Models.JobShop.Source
7	2019/04/18 00:00:30.3616	.MUs.Console:2	Console	Transport	Start	.Models.JobShop.Buffer
8	2019/04/18 00:00:30.3616	.MUs.Console:2	Console	Transport	Waiting	.Models.JobShop.Buffer
9	2019/04/18 00:01:21.3616	.MUs.Console:1	Console	Transport	In progress	.MUs.AGV:1
10	2019/04/18 00:01:55.2874	.MUs.Robot:1	Robot	Arrival	Start	.Models.JobShop.Source
11	2019/04/18 00:01:55.2874	.MUs.Robot:1	Robot	Arrival	Complete	.Models.JobShop.Source
12	2019/04/18 00:01:55.2874	.MUs.Robot:1	Robot	Transport	Start	.Models.JobShop.Buffer
13	2019/04/18 00:01:55.2874	.MUs.Robot:1	Robot	Transport	Waiting	.Models.JobShop.Buffer
14	2019/04/18 00:02:11.3621	.MUs.Console:1	Console	Transport	Complete	.MUs.AGV:1
15	2019/04/18 00:02:11.3621	.MUs.Console:1	Console	Welding	Start	.Models.JobShop.Welding.Input
16	2019/04/18 00:02:11.3621	.MUs.Console:1	Console	Welding	Waiting	.Models.JobShop.Welding.Input
17	2019/04/18 00:02:11.3621	.MUs.Console:1	Console	Welding	In progress	.Models.JobShop.Welding.Machine
18	2019/04/18 00:02:18.3621	.MUs.Console:2	Console	Transport	In progress	.MUs.AGV:2
19	2019/04/18 00:02:19.3621	.MUs.Robot:1	Robot	Transport	In progress	.MUs.AGV:3
20	2019/04/18 00:02:29.3626	.MUs.Robot:1	Robot	Transport	Complete	.MUs.AGV:3
21	2019/04/18 00:02:29.3626	.MUs.Robot:1	Robot	Sawing	Start	.Models.JobShop.Sawing.Input
22	2019/04/18 00:02:29.3626	.MUs.Robot:1	Robot	Sawing	Waiting	.Models.JobShop.Sawing.Input
23	2019/04/18 00:02:29.3626	.MUs.Robot:1	Robot	Sawing	In progress	.Models.JobShop.Sawing.Machine
24	2019/04/18 00:03:00.8201	.MUs.Robot:1	Robot	Sawing	Complete	.Models.JobShop.Sawing.Machine
25	2019/04/18 00:03:00.8201	.MUs.Robot:1	Robot	Transport	Start	.Models.JobShop.Sawing.Output
26	2019/04/18 00:03:00.8201	.MUs.Robot:1	Robot	Transport	Waiting	.Models.JobShop.Sawing.Output
27	2019/04/18 00:03:07.5318	.MUs.Robot:2	Robot	Arrival	Start	.Models.JobShop.Source
28	2019/04/18 00:03:07.5318	.MUs.Robot:2	Robot	Arrival	Complete	.Models.JobShop.Source
29	2019/04/18 00:03:07.5318	.MUs.Robot:2	Robot	Transport	Start	.Models.JobShop.Buffer
30	2019/04/18 00:03:07.5318	.MUs.Robot:2	Robot	Transport	Waiting	.Models.JobShop.Buffer
31	2019/04/18 00:03:08.3626	.MUs.Console:2	Console	Transport	Complete	.MUs.AGV:2
32	2019/04/18 00:03:08.3626	.MUs.Console:2	Console	Welding	Start	.Models.JobShop.Welding.Input
33	2019/04/18 00:03:08.3626	.MUs.Console:2	Console	Welding	Waiting	.Models.JobShop.Welding.Input
34	2019/04/18 00:03:17.3626	.MUs.Robot:2	Robot	Transport	In progress	.MUs.AGV:1
35	2019/04/18 00:03:19.8206	.MUs.Robot:1	Robot	Transport	In progress	.MUs.AGV:4
36	2019/04/18 00:03:25.5209	.MUs.Console:1	Console	Welding	Complete	.Models.JobShop.Welding.Machine
37	2019/04/18 00:03:25.5209	.MUs.Console:1	Console	Transport	Start	.Models.JobShop.Welding.Output
38	2019/04/18 00:03:25.5209	.MUs.Console:1	Console	Transport	Waiting	.Models.JobShop.Welding.Output
39	2019/04/18 00:03:25.5209	.MUs.Console:2	Console	Welding	In progress	.Models.JobShop.Welding.Machine
